aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-9.4		-5.5	5.5	1.5	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675215.595927	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575		525	517	484			301	511	455		523	466	416			577
-9.4		-5.5	5.5	1.5	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675215.7044473	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575		525	517	484			301	511	455		523	466	416			577
-9.6	4.1	-5.4	5.4	1.6	6.4			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675215.8186681	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.1	-5.4	5.4	1.6	6.4			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675215.9269028	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4	4.2	-5.3	5.3	1.4	6.4			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675216.0358324	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4	4.2	-5.3	5.3	1.4	6.4			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675216.1423116	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4	4.0	-5.5	5.5	1.6	6.1			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675216.2498295	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4	4.0	-5.5	5.5	1.6	6.1			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675216.3557184	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.5	3.9	-5.5	5.5	1.6	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675216.461467	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.5	3.9	-5.5	5.5	1.6	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675216.568424	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4		-5.5	5.5	1.5	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675216.6768682	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575		525	517	484			301	511	455		523	466	416			577
-9.4		-5.5	5.5	1.5	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675216.786794	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575		525	517	484			301	511	455		523	466	416			577
-9.3		-5.6	5.6	1.5	6.3			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675216.8994236	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575		525	517	484			301	511	455		523	466	416			577
-9.3		-5.6	5.6	1.5	6.3			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675217.0156763	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575		525	517	484			301	511	455		523	466	416			577
-9.6	3.9	-5.4	5.4	1.6	6.3			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675217.126217	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	3.9	-5.4	5.4	1.6	6.3			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675217.2341728	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4	4.0	-5.5	5.5	1.6	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675217.3405323	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4	4.0	-5.5	5.5	1.6	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675217.4516544	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.3		-5.4	5.4	1.5	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675217.5607677	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575		525	517	484			301	511	455		523	466	416			577
-9.5		-5.6	5.6	1.6	5.8			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675217.6718004	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575		525	517	484			301	511	455		523	466	416			577
-9.5		-5.6	5.6	1.6	5.8			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675217.7808979	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575		525	517	484			301	511	455		523	466	416			577
-9.6	4.1	-5.4	5.4	1.5	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675217.8895576	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.1	-5.4	5.4	1.5	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675217.9984446	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4	4.1	-5.4	5.4	1.8	5.9			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675218.1050394	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4	4.1	-5.4	5.4	1.8	5.9			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675218.2115388	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.1	-5.3	5.3	1.5	5.9			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675218.3203595	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.1	-5.3	5.3	1.5	5.9			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675218.4265528	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.1	-5.4	5.4	1.8	6.1			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675218.533359	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.1	-5.4	5.4	1.8	6.1			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675218.63982	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.1	-5.4	5.4	1.6	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675218.7572293	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.1	-5.4	5.4	1.6	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675218.8705516	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.2	4.1	-5.5	5.5	1.7	6.0			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675218.9820886	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.2	4.1	-5.5	5.5	1.7	6.0			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675219.0881793	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.3		-5.5	5.5	2.2				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675219.1945987	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575		525	517				301	511	455		523	466				577
-9.3		-5.5	5.5	2.2				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675219.3089092	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575		525	517				301	511	455		523	466				577
-9.5	4.1	-5.7	5.7	1.9	5.5			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675219.4149098	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.5	4.1	-5.7	5.7	1.9	5.5			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675219.5239832	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.2	4.1	-5.6	5.6	1.8	5.9			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675219.6332884	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4	4.1	-5.6	5.6	2.1	6.0			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675219.7439535	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	415			577
-9.4	4.1	-5.6	5.6	2.1	6.0			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675219.8613253	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	415			577
-9.4	4.1	-5.6	5.6	1.7	6.0			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675219.9667463	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4	4.1	-5.6	5.6	1.7	6.0			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675220.0796778	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.0	-5.4	5.4	1.9	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675220.187233	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.0	-5.4	5.4	1.9	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675220.2964444	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.1	-5.4	5.4	1.9	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675220.402731	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.1	-5.4	5.4	1.9	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675220.5342164	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.7	4.1	-5.4	5.4	1.6				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675220.6436427	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517				301	511	455	398	523	466				577
-9.7	4.1	-5.4	5.4	1.6				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675220.7542448	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517				301	511	455	398	523	466				577
-9.4	3.8	-6.0	6.0	1.9	6.0			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675220.8769653	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4	3.8	-6.0	6.0	1.9	6.0			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675220.984973	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.7	4.0	-5.5	5.5	1.9	6.0			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675221.0948954	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.3	3.9	-5.8	5.8	2.2				349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675221.2058039	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517				301	511	455	398	523	466				577
-9.3	3.9	-5.8	5.8	2.2				349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675221.3225062	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517				301	511	455	398	523	466				577
-9.5	4.0	-5.5	5.5	2.0	5.9			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675221.4296322	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.5	4.0	-5.5	5.5	2.0	5.9			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675221.5355282	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	3.9	-5.5	5.5	2.0	6.4			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675221.642967	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	3.9	-5.5	5.5	2.0	6.4			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675221.7502022	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.3	3.8	-5.8	5.8	1.7	6.2			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675221.8578153	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.3	3.8	-5.8	5.8	1.7	6.2			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675221.9647417	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.5	4.0	-5.8	5.8	1.8				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675222.0742257	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517				301	511	455	398	523	466				577
-9.5	4.0	-5.8	5.8	1.8				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675222.1809442	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517				301	511	455	398	523	466				577
-9.5	3.8	-5.7	5.7	2.0				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675222.287718	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517				301	511	455	398	523	466				577
-9.5	3.8	-5.7	5.7	2.0				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675222.3941996	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517				301	511	455	398	523	466				577
-9.1	4.0	-5.7	5.7	1.7	5.8			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675222.5037038	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.1	4.0	-5.7	5.7	1.7	5.8			349.0	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675222.6115932	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.5	4.2	-5.8	5.8	2.0	5.4			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675222.7188244	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.5	4.2	-5.8	5.8	2.0	5.4			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675222.8259568	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.4	3.8	-5.9	5.9	1.8				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675222.9327214	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517				301	511	455	398	523	466				577
-9.4	3.8	-5.9	5.9	1.8				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675223.038678	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517				301	511	455	398	523	466				577
-9.6	4.1	-5.5	5.5	1.7	6.3			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675223.14535	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.6	4.1	-5.5	5.5	1.7	6.3			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675223.255384	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.5	3.8	-5.9	5.9	2.1	5.9			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675223.362874	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.5	3.8	-5.9	5.9	2.1	5.9			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675223.4705868	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.3	4.1	-5.4	5.4	2.1	5.9			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675223.5770028	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	574	566	525	517	484			301	511	455	398	523	466	416			577
-9.3	4.1	-5.4	5.4	2.1	5.9			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675223.6860328	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	574	566	525	517	484			301	511	455	398	523	466	416			577
-9.2	3.8	-5.6	5.6	2.0	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675223.7925785	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.2	3.8	-5.6	5.6	2.0	6.2			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675223.9016032	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.5	3.9	-5.9	5.9	1.7	5.7			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675224.0078115	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.5	3.9	-5.9	5.9	1.7	5.7			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675224.1162374	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.3	4.0	-5.9	5.9	1.7	5.6			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675224.222698	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-9.3	4.0	-5.9	5.9	1.7	5.6			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675224.331703	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	416			577
-10.0	4.3	-5.6	5.6	2.3	5.4			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675224.441859	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	415			577
-10.0	4.3	-5.6	5.6	2.3	5.4			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675224.554592	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517	484			301	511	455	398	523	466	415			577
-9.6	4.2	-5.8	5.8	2.3				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675224.6612396	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	574	566	525	517				301	511	455	398	523	466				577
-9.6	4.2	-5.8	5.8	2.3				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675224.7816541	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	574	566	525	517				301	511	455	398	523	466				577
-9.8	4.2	-5.5	5.5	2.0	5.9			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675224.892934	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	574	566	525	517	484			301	511	455	398	523	466	416			577
-9.8	4.2	-5.5	5.5	2.0	5.9			348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675225.003584	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	574	566	525	517	484			301	511	455	398	523	466	416			577
-9.9	4.3	-5.7	5.7	2.2				348.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675225.1274624	25.0	25.0	25.0	25.0	25.0	25.0	25.0	576	575	566	525	517				301	511	455	398	523	466				577
